timestamp,node,raw_line
06:42:22.926,MASTER,[TX] POLL:1
06:42:22.957,S1,[RX] POLL:1 | RSSI: -58 dBm | SNR: 9.25 dB | RX#: 12
06:42:22.957,S2,[IGNORE] S1:DATA:12
06:42:22.967,S1,[TX] S1:DATA:12
06:42:22.988,S1,[IGNORE] POLL:2
06:42:22.999,MASTER,[RX] S1:DATA:12 | RSSI: -53 dBm | SNR: 9.25 dB
06:42:23.000,MASTER,[TX] POLL:2
06:42:23.035,S2,[RX] POLL:2 | RSSI: -69 dBm | SNR: 9.25 dB | RX#: 12
06:42:23.036,S1,[IGNORE] S2:DATA:12
06:42:23.045,S2,[TX] S2:DATA:12
06:42:23.081,MASTER,[RX] S2:DATA:12 | RSSI: -65 dBm | SNR: 9.25 dB
06:42:23.113,MASTER,--- STATISTIK ---
06:42:23.147,MASTER,S1: OK=12 | FAIL=0 | Data: 12
06:42:23.179,MASTER,S2: OK=12 | FAIL=0 | Data: 12
06:42:23.180,MASTER,Durasi siklus: 165 ms
06:42:23.217,MASTER,========================================
06:42:23.709,S2,[IGNORE] POLL:1
06:42:23.714,MASTER,========================================
06:42:23.715,MASTER,=== CYCLE 13 ===
06:42:23.725,MASTER,[TX] POLL:1
06:42:23.757,S1,[RX] POLL:1 | RSSI: -58 dBm | SNR: 9.00 dB | RX#: 13
06:42:23.758,S2,[IGNORE] S1:DATA:13
06:42:23.766,S1,[TX] S1:DATA:13
06:42:23.787,S1,[IGNORE] POLL:2
06:42:23.799,MASTER,[RX] S1:DATA:13 | RSSI: -53 dBm | SNR: 9.50 dB
06:42:23.800,MASTER,[TX] POLL:2
06:42:23.834,S2,[RX] POLL:2 | RSSI: -69 dBm | SNR: 8.75 dB | RX#: 13
06:42:23.835,S1,[IGNORE] S2:DATA:13
06:42:23.845,S2,[TX] S2:DATA:13
06:42:23.879,MASTER,[RX] S2:DATA:13 | RSSI: -65 dBm | SNR: 8.75 dB
06:42:23.913,MASTER,--- STATISTIK ---
06:42:23.946,MASTER,S1: OK=13 | FAIL=0 | Data: 13
06:42:23.979,MASTER,S2: OK=13 | FAIL=0 | Data: 13
06:42:23.980,MASTER,Durasi siklus: 165 ms
06:42:24.016,MASTER,========================================
